t(ticks) ; id_viat ; destin ; t_estacion ;  t_vida  ; observ
7938620  ; 15017   ; O      ; 60         ; 23424    ; saiu
7944874  ; 15039   ; S      ; 30         ; ?        ; entrou
7946131  ; 15039   ; S      ; 30         ; 12787    ; saiu
7953481  ; 15042   ; N      ; 50         ; ?        ; entrou
7955865  ; 15042   ; N      ; 50         ; 15792    ; saiu
7960287  ; 15040   ; N      ; 60         ; ?        ; entrou
7961063  ; 15040   ; N      ; 60         ; 21975    ; saiu
7962794  ; 15043   ; S      ; 100        ; ?        ; cheio
7963432  ; 15060   ; N      ; 10         ; ?        ; entrou
7964484  ; 15060   ; N      ; 10         ; 8628     ; saiu
7967619  ; 15069   ; S      ; 100        ; ?        ; entrou
7968421  ; 15069   ; S      ; 100        ; 5919     ; saiu
7970987  ; 15070   ; N      ; 10         ; ?        ; entrou
7972250  ; 15071   ; E      ; 100        ; ?        ; entrou
7972255  ; 15070   ; N      ; 10         ; 7765     ; saiu
7974989  ; 15071   ; E      ; 100        ; 9422     ; saiu
7977722  ; 15064   ; N      ; 40         ; ?        ; cheio
7980485  ; 15078   ; E      ; 100        ; ?        ; entrou
7982153  ; 15078   ; E      ; 100        ; 8817     ; saiu
7986224  ; 15079   ; E      ; 100        ; ?        ; entrou
7987368  ; 15079   ; E      ; 100        ; 8906     ; saiu
7990673  ; 15083   ; S      ; 30         ; ?        ; entrou
7991862  ; 15080   ; E      ; 80         ; ?        ; entrou
7993041  ; 15080   ; E      ; 80         ; 13498    ; saiu
7992283  ; 15083   ; S      ; 30         ; 8592     ; saiu
8002026  ; 15086   ; N      ; 30         ; ?        ; entrou
8003626  ; 15085   ; S      ; 90         ; ?        ; entrou
8005564  ; 15092   ; S      ; 80         ; ?        ; entrou
8003916  ; 15086   ; N      ; 30         ; 19847    ; saiu
8006967  ; 15092   ; S      ; 80         ; 15114    ; saiu
8005647  ; 15085   ; S      ; 90         ; 24205    ; saiu
8014956  ; 15100   ; E      ; 80         ; ?        ; entrou
8017159  ; 15101   ; N      ; 90         ; ?        ; cheio
8017179  ; 15099   ; E      ; 10         ; ?        ; cheio
8019266  ; 15100   ; E      ; 80         ; 10313    ; saiu
8026027  ; 15105   ; E      ; 20         ; ?        ; entrou
8028166  ; 15103   ; S      ; 60         ; ?        ; entrou
8027300  ; 15105   ; E      ; 20         ; 8531     ; saiu
8030233  ; 15103   ; S      ; 60         ; 12788    ; saiu
8034000  ; 15107   ; O      ; 70         ; ?        ; entrou
8035647  ; 15107   ; O      ; 70         ; 15215    ; saiu
8037361  ; 15109   ; O      ; 100        ; ?        ; cheio
8039248  ; 15108   ; E      ; 90         ; ?        ; entrou
8041842  ; 15108   ; E      ; 90         ; 18404    ; saiu
8045378  ; 15115   ; E      ; 10         ; ?        ; entrou
8046938  ; 15115   ; E      ; 10         ; 6720     ; saiu
8050684  ; 15117   ; O      ; 10         ; ?        ; cheio
8050660  ; 15118   ; O      ; 20         ; ?        ; entrou
8052306  ; 15119   ; S      ; 30         ; ?        ; entrou
8052544  ; 15118   ; O      ; 20         ; 10205    ; saiu
8053450  ; 15119   ; S      ; 30         ; 10117    ; saiu
8055884  ; 15121   ; S      ; 100        ; ?        ; entrou
8059338  ; 15122   ; E      ; 90         ; ?        ; entrou
8057643  ; 15121   ; S      ; 100        ; 9977     ; saiu
8059339  ; 15124   ; O      ; 100        ; ?        ; cheio
8062639  ; 15123   ; S      ; 100        ; ?        ; entrou
8062588  ; 15122   ; E      ; 90         ; 12887    ; saiu
8065103  ; 15127   ; N      ; 80         ; ?        ; cheio
8069418  ; 15128   ; N      ; 50         ; ?        ; entrou
8068392  ; 15123   ; S      ; 100        ; 14667    ; saiu
8071592  ; 15130   ; O      ; 20         ; ?        ; entrou
8073182  ; 15130   ; O      ; 20         ; 7786     ; saiu
8074341  ; 15128   ; N      ; 50         ; 13681    ; saiu
8077930  ; 15137   ; S      ; 10         ; ?        ; entrou
8078636  ; 15137   ; S      ; 10         ; 4023     ; saiu
8082683  ; 15138   ; O      ; 10         ; ?        ; cheio
8084065  ; 15132   ; O      ; 10         ; ?        ; entrou
8085117  ; 15129   ; E      ; 90         ; ?        ; cheio
