t(ticks) ; nlug ; id_viat ; observ
7220324  ; 1    ; 12832   ; entrou
7221711  ; 1    ; 12834   ; cheio
7222744  ; 0    ; 12832   ; saiu
7235351  ; 1    ; 12835   ; entrou
7236462  ; 0    ; 12835   ; saiu
7244078  ; 1    ; 12855   ; entrou
7248302  ; 0    ; 12855   ; saiu
7249770  ; 1    ; 12823   ; entrou
7251597  ; 0    ; 12823   ; saiu
7255059  ; 1    ; 12839   ; entrou
7257463  ; 0    ; 12839   ; saiu
7281245  ; 1    ; 12830   ; entrou
7287082  ; 0    ; 12830   ; saiu
7290997  ; 1    ; 12829   ; entrou
7291526  ; 1    ; 12853   ; cheio
7292391  ; 0    ; 12829   ; saiu
7295583  ; 1    ; 12862   ; entrou
7295998  ; 0    ; 12862   ; saiu
7296121  ; 1    ; 12854   ; entrou
7296236  ; 1    ; 12856   ; cheio
7296394  ; 1    ; 12858   ; cheio
7296507  ; 1    ; 12852   ; cheio
7296647  ; 0    ; 12854   ; saiu
7297642  ; 1    ; 12881   ; entrou
7298412  ; 0    ; 12881   ; saiu
7315262  ; 1    ; 12884   ; entrou
7317151  ; 1    ; 12878   ; cheio
7318336  ; 1    ; 12879   ; cheio
7319973  ; 0    ; 12884   ; saiu
7330716  ; 1    ; 12913   ; entrou
7332727  ; 0    ; 12913   ; saiu
7336642  ; 1    ; 12887   ; entrou
7337156  ; 1    ; 12919   ; entrou
7337304  ; 1    ; 12887   ; saiu
7337361  ; 1    ; 12917   ; entrou
7337467  ; 0    ; 12919   ; saiu
7337572  ; 0    ; 12917   ; saiu
7347547  ; 1    ; 12883   ; entrou
7349046  ; 1    ; 12886   ; cheio
7349240  ; 1    ; 12890   ; cheio
7349601  ; 1    ; 12888   ; entrou
7351832  ; 1    ; 12883   ; saiu
7352442  ; 1    ; 12898   ; cheio
7353709  ; 1    ; 12924   ; entrou
7354949  ; 0    ; 12924   ; saiu
7354060  ; 0    ; 12888   ; saiu
7355928  ; 1    ; 12904   ; entrou
7356102  ; 1    ; 12889   ; cheio
7356666  ; 0    ; 12904   ; saiu
7357589  ; 1    ; 12899   ; entrou
7357751  ; 1    ; 12916   ; cheio
7365554  ; 1    ; 12937   ; cheio
7366981  ; 1    ; 12936   ; cheio
7367503  ; 1    ; 12942   ; cheio
7367717  ; 1    ; 12939   ; cheio
7378746  ; 1    ; 12947   ; cheio
7378843  ; 1    ; 12941   ; cheio
7386043  ; 1    ; 12954   ; cheio
7385928  ; 1    ; 12946   ; cheio
7389416  ; 0    ; 12899   ; saiu
7389987  ; 1    ; 12955   ; entrou
7391066  ; 1    ; 12957   ; entrou
7391222  ; 1    ; 12955   ; saiu
7392115  ; 0    ; 12957   ; saiu
7394925  ; 1    ; 12962   ; entrou
7395121  ; 0    ; 12962   ; saiu
7396289  ; 1    ; 12960   ; entrou
7397483  ; 1    ; 12965   ; cheio
7398404  ; 0    ; 12960   ; saiu
7407504  ; 1    ; 12973   ; entrou
7408792  ; 0    ; 12973   ; saiu
7410277  ; 1    ; 12976   ; entrou
7410871  ; 0    ; 12976   ; saiu
7416109  ; 1    ; 12981   ; entrou
7415869  ; 1    ; 12983   ; cheio
7416581  ; 0    ; 12981   ; saiu
7420263  ; 1    ; 12987   ; entrou
7421877  ; 0    ; 12987   ; saiu
7423888  ; 1    ; 12986   ; entrou
7424292  ; 1    ; 12990   ; entrou
7424590  ; 1    ; 12986   ; saiu
7426260  ; 0    ; 12990   ; saiu
7433165  ; 1    ; 12998   ; entrou
7434665  ; 0    ; 12998   ; saiu
7436951  ; 1    ; 12997   ; entrou
7438534  ; 0    ; 12997   ; saiu
7445315  ; 1    ; 13006   ; entrou
7448543  ; 0    ; 13006   ; saiu
7449152  ; 1    ; 13007   ; entrou
7451534  ; 0    ; 13007   ; saiu
7462660  ; 1    ; 13012   ; entrou
7462996  ; 1    ; 13016   ; cheio
7463253  ; 0    ; 13012   ; saiu
7463375  ; 1    ; 12993   ; entrou
7464040  ; 0    ; 12993   ; saiu
7465000  ; 1    ; 13013   ; entrou
7465593  ; 0    ; 13013   ; saiu
7469409  ; 1    ; 13024   ; entrou
7469731  ; 0    ; 13024   ; saiu
7470055  ; 1    ; 13025   ; entrou
7470199  ; 1    ; 13026   ; cheio
7470310  ; 0    ; 13025   ; saiu
7470642  ; 1    ; 13029   ; entrou
7470919  ; 1    ; 13028   ; cheio
7471200  ; 0    ; 13029   ; saiu
7471962  ; 1    ; 13032   ; entrou
7473425  ; 0    ; 13032   ; saiu
7474026  ; 1    ; 13031   ; entrou
7474443  ; 0    ; 13031   ; saiu
7492436  ; 1    ; 13037   ; entrou
7493201  ; 1    ; 13040   ; cheio
7493362  ; 1    ; 13042   ; cheio
7494664  ; 1    ; 13041   ; cheio
7494791  ; 1    ; 13039   ; cheio
7495012  ; 1    ; 13038   ; cheio
7497138  ; 1    ; 13044   ; cheio
7498518  ; 1    ; 13045   ; entrou
7498516  ; 0    ; 13037   ; saiu
7499418  ; 0    ; 13045   ; saiu
7499858  ; 1    ; 13036   ; entrou
7500263  ; 0    ; 13036   ; saiu
7503859  ; 1    ; 13043   ; entrou
7504417  ; 0    ; 13043   ; saiu
7507365  ; 1    ; 13057   ; entrou
7507853  ; 1    ; 13052   ; cheio
7508988  ; 1    ; 13060   ; cheio
7509432  ; 0    ; 13057   ; saiu
7515284  ; 1    ; 13062   ; entrou
7515754  ; 0    ; 13062   ; saiu
7530640  ; 1    ; 13059   ; entrou
7530796  ; 1    ; 13055   ; cheio
7531263  ; 1    ; 13051   ; entrou
7531441  ; 1    ; 13059   ; saiu
7531094  ; 1    ; 13053   ; cheio
7531543  ; 1    ; 13054   ; cheio
7532632  ; 1    ; 13069   ; cheio
7533038  ; 1    ; 13066   ; cheio
7532632  ; 1    ; 13048   ; cheio
7534899  ; 0    ; 13051   ; saiu
7535370  ; 1    ; 13064   ; entrou
7535899  ; 0    ; 13064   ; saiu
7540775  ; 1    ; 13115   ; entrou
7541978  ; 0    ; 13115   ; saiu
7547332  ; 1    ; 13118   ; entrou
7548629  ; 0    ; 13118   ; saiu
7552007  ; 1    ; 13120   ; entrou
7552706  ; 0    ; 13120   ; saiu
7553581  ; 1    ; 13121   ; entrou
7554360  ; 0    ; 13121   ; saiu
7556706  ; 1    ; 13126   ; entrou
7557527  ; 0    ; 13126   ; saiu
7560801  ; 1    ; 13125   ; entrou
7561722  ; 0    ; 13125   ; saiu
7564141  ; 1    ; 13133   ; entrou
7564825  ; 0    ; 13133   ; saiu
7565022  ; 1    ; 13131   ; entrou
7565369  ; 1    ; 13130   ; cheio
7565696  ; 0    ; 13131   ; saiu
7566548  ; 1    ; 13128   ; entrou
7568504  ; 0    ; 13128   ; saiu
7569482  ; 1    ; 13122   ; entrou
7570210  ; 0    ; 13122   ; saiu
7577262  ; 1    ; 13116   ; entrou
7578059  ; 0    ; 13116   ; saiu
7578275  ; 1    ; 13134   ; entrou
7579486  ; 0    ; 13134   ; saiu
7587800  ; 1    ; 13135   ; entrou
7588281  ; 0    ; 13135   ; saiu
7588419  ; 1    ; 13137   ; entrou
7588542  ; 1    ; 13138   ; cheio
7589510  ; 1    ; 13144   ; cheio
7592044  ; 1    ; 13142   ; cheio
7592994  ; 0    ; 13137   ; saiu
7604840  ; 1    ; 13147   ; entrou
7604890  ; 1    ; 13146   ; cheio
7606978  ; 0    ; 13147   ; saiu
7611514  ; 1    ; 13156   ; entrou
7611822  ; 1    ; 13149   ; cheio
7612680  ; 0    ; 13156   ; saiu
7613866  ; 1    ; 13157   ; entrou
7614408  ; 1    ; 13161   ; cheio
